transaction_id,timestamp,customer_id,merchant_id,device_id,ip_cluster_id,amount_inr,merchant_category,payment_method,channel,customer_age_days,customer_txn_count_30d,customer_avg_amount_30d,time_since_last_txn_min,txn_velocity_10m,txn_velocity_1h,amount_zscore_customer,is_new_device,device_trust_score,ip_risk_score,geo_distance_km,billing_shipping_mismatch,failed_attempts_24h,account_changes_24h,is_proxy_ip,prior_disputes_90d,merchant_fraud_rate_7d,known_promo_event,hour,day_of_week,is_weekend
T000001,2026-04-01 00:04:58,C05156,M0313,D05156,IP02_199,463.05,food,upi,android,190,140,2511.06,10080.0,0,0,-1.087,0,0.9097,0.1107,9.6,0,0,0,0,0,0.00378,0,0,2,0
T000002,2026-04-01 00:23:56,C00099,M0485,D00099,IP05_125,624.81,health,card,android,715,143,331.02,10080.0,0,0,1.183,0,0.7696,0.2064,48.74,0,0,0,0,0,0.00928,0,0,2,0
T000003,2026-04-01 00:30:04,C06136,M0191,D06136,IP04_026,318.24,services,card,ios,747,141,597.9,10080.0,0,0,-0.624,0,0.7749,0.2883,19.58,0,0,0,0,0,0.00682,0,0,2,0
T000004,2026-04-01 00:32:40,C01253,M0205,D01253,IP05_047,189.12,fashion,upi,android,55,50,813.66,10080.0,0,0,-1.023,0,0.8191,0.0619,12.2,0,0,0,0,0,0.00729,0,0,2,0
T000005,2026-04-01 00:55:25,C00280,M0012,D00280,IP01_149,800.77,food,upi,ios,637,142,1096.94,10080.0,0,0,-0.36,0,0.4683,0.2079,15.3,0,1,0,0,0,0.01424,0,0,2,0
T000006,2026-04-01 01:06:00,C06308,M0342,D06308,IP00_011,2373.05,services,upi,ios,1115,141,2430.49,10080.0,0,0,-0.032,0,0.596,0.4368,10.12,0,0,0,0,0,0.01017,0,1,2,0
T000007,2026-04-01 01:15:16,C03611,M0144,D03611,IP02_025,9786.28,travel,upi,android,577,141,7567.42,10080.0,0,0,0.391,0,0.7761,0.0745,9.39,0,0,0,0,0,0.01057,0,1,2,0
T000008,2026-04-01 01:28:02,C03238,M0150,D03238,IP05_002,10648.96,fashion,upi,ios,1042,142,2807.06,10080.0,1,5,5.244,0,0.7005,0.0973,141.7,0,2,0,0,0,0.01315,0,1,2,0
T000009,2026-04-01 01:41:18,C05078,M0497,D05078,IP05_021,3160.62,services,card,web,515,140,1657.39,10080.0,0,0,1.209,0,0.9217,0.0079,11.75,0,0,0,0,0,0.00687,0,1,2,0
T000010,2026-04-01 02:11:52,C01556,M0303,D01556,IP04_090,6090.69,fashion,card,web,1181,90,3001.58,10080.0,0,0,1.372,0,0.7179,0.0317,5.08,0,0,0,0,0,0.01355,0,2,2,0
T000011,2026-04-01 02:43:08,C04169,M0451,D04169,IP03_003,3345.58,education,upi,android,559,141,1237.4,10080.0,0,0,2.272,0,0.8955,0.1359,29.87,0,0,0,0,0,0.00982,0,2,2,0
T000012,2026-04-01 02:47:16,C06452,M0254,D06452,IP01_027,4002.58,grocery,netbanking,android,436,141,4180.88,10080.0,0,0,-0.057,0,0.9073,0.3277,11.32,0,0,0,0,0,0.01317,0,2,2,0
T000013,2026-04-01 03:25:19,C03748,M0344,D03748,IP02_206,1106.55,health,netbanking,web,109,144,2384.61,10080.0,0,0,-0.715,0,0.9389,0.0301,4.38,0,0,0,0,0,0.00911,0,3,2,0
T000014,2026-04-01 03:26:55,C04184,M0163,D04184,IP05_061,10390.63,utilities,upi,android,886,141,3679.0,10080.0,0,0,2.432,0,0.7781,0.0497,28.41,0,0,0,0,0,0.01057,0,3,2,0
T000015,2026-04-01 03:27:59,C04537,M0357,D04537,IP02_065,842.35,grocery,wallet,android,198,143,2094.67,10080.0,0,0,-0.797,0,0.5329,0.0119,8.44,0,0,0,0,0,0.01113,0,3,2,0
T000016,2026-04-01 03:37:35,C02600,M0044,D02600,IP05_002,144.65,grocery,card,android,87,140,964.75,10080.0,0,0,-1.133,0,0.345,0.0,6.74,0,0,0,0,0,0.01431,0,3,2,0
