transaction_id,is_fraud,is_spike_injected,injected_spike_event_id,benign_event_id,is_within_spike_window,active_spike_event_id,fraud_scenario_family,false_positive_cost_if_blocked_inr,fraud_loss_if_missed_inr
T000001,0,0,,,0,,,177.26,0.0
T000002,0,0,,,0,,,182.44,0.0
T000003,0,0,,,0,,,172.68,0.0
T000004,0,0,,,0,,,80.32,0.0
T000005,0,0,,,0,,,201.85,0.0
T000006,0,0,,,0,,,339.12,0.0
T000007,0,0,,,0,,,587.28,0.0
T000008,1,0,,,0,,,0.0,8852.15
T000009,0,0,,,0,,,402.01,0.0
T000010,0,0,,,0,,,594.35,0.0
T000011,0,0,,,0,,,327.56,0.0
T000012,0,0,,,0,,,254.97,0.0
T000013,0,0,,,0,,,209.35,0.0
T000014,0,0,,,0,,,333.93,0.0
T000015,0,0,,,0,,,171.44,0.0
T000016,0,0,,,0,,,149.91,0.0
T000017,0,0,,,0,,,184.65,0.0
T000018,0,0,,,0,,,150.62,0.0
T000019,0,0,,,0,,,136.51,0.0
T000020,0,0,,,0,,,269.02,0.0
T000021,0,0,,,0,,,542.38,0.0
T000022,0,0,,,0,,,164.67,0.0
T000023,0,0,,,0,,,162.22,0.0
T000024,0,0,,,0,,,418.05,0.0
T000025,0,0,,,0,,,198.73,0.0
T000026,0,0,,,0,,,185.68,0.0
T000027,0,0,,,0,,,270.88,0.0
T000028,0,0,,,0,,,213.35,0.0
T000029,0,0,,,0,,,587.37,0.0
T000030,0,0,,,0,,,245.87,0.0
T000031,0,0,,,0,,,166.95,0.0
T000032,0,0,,,0,,,161.85,0.0
T000033,0,0,,,0,,,154.56,0.0
T000034,0,0,,,0,,,118.76,0.0
T000035,0,0,,,0,,,202.23,0.0
T000036,0,0,,,0,,,203.31,0.0
T000037,0,0,,,0,,,469.87,0.0
T000038,0,0,,,0,,,272.95,0.0
T000039,0,0,,,0,,,1159.26,0.0
T000040,0,0,,,0,,,202.15,0.0
T000041,0,0,,,0,,,324.3,0.0
T000042,0,0,,,0,,,199.61,0.0
T000043,0,0,,,0,,,224.45,0.0
T000044,0,0,,,0,,,246.92,0.0
T000045,0,0,,,0,,,252.15,0.0
T000046,0,0,,,0,,,229.88,0.0
T000047,0,0,,,0,,,203.11,0.0
T000048,0,0,,,0,,,177.96,0.0
T000049,0,0,,,0,,,165.16,0.0
T000050,0,0,,,0,,,448.39,0.0
T000051,0,0,,,0,,,176.46,0.0
T000052,0,0,,,0,,,552.69,0.0
T000053,0,0,,,0,,,387.59,0.0
T000054,0,0,,,0,,,158.73,0.0
T000055,0,0,,,0,,,241.09,0.0
T000056,0,0,,,0,,,241.2,0.0
T000057,0,0,,,0,,,159.09,0.0
T000058,0,0,,,0,,,183.69,0.0
T000059,0,0,,,0,,,325.49,0.0
T000060,0,0,,,0,,,110.67,0.0
T000061,0,0,,,0,,,143.16,0.0
T000062,0,0,,,0,,,244.06,0.0
T000063,0,0,,,0,,,239.7,0.0
T000064,0,0,,,0,,,114.38,0.0
T000065,0,0,,,0,,,322.49,0.0
T000066,0,0,,,0,,,157.67,0.0
T000067,0,0,,,0,,,408.11,0.0
T000068,0,0,,,0,,,219.44,0.0
T000069,0,0,,,0,,,189.07,0.0
T000070,0,0,,,0,,,160.89,0.0
T000071,0,0,,,0,,,192.32,0.0
T000072,0,0,,,0,,,211.84,0.0
T000073,0,0,,,0,,,152.3,0.0
T000074,0,0,,,0,,,171.99,0.0
T000075,0,0,,,0,,,232.85,0.0
T000076,0,0,,,0,,,130.65,0.0
T000077,0,0,,,0,,,249.38,0.0
T000078,0,0,,,0,,,402.45,0.0
T000079,0,0,,,0,,,260.17,0.0
T000080,0,0,,,0,,,169.15,0.0
T000081,0,0,,,0,,,446.55,0.0
T000082,0,0,,,0,,,281.82,0.0
T000083,0,0,,,0,,,155.84,0.0
T000084,0,0,,,0,,,203.04,0.0
T000085,0,0,,,0,,,450.37,0.0
T000086,0,0,,,0,,,366.89,0.0
T000087,0,0,,,0,,,540.96,0.0
T000088,0,0,,,0,,,145.67,0.0
T000089,0,0,,,0,,,57.42,0.0
T000090,0,0,,,0,,,173.67,0.0
T000091,0,0,,,0,,,264.56,0.0
T000092,0,0,,,0,,,675.04,0.0
T000093,0,0,,,0,,,176.65,0.0
T000094,0,0,,,0,,,208.89,0.0
T000095,0,0,,,0,,,206.7,0.0
T000096,0,0,,,0,,,373.69,0.0
T000097,0,0,,,0,,,341.05,0.0
T000098,0,0,,,0,,,161.15,0.0
T000099,0,0,,,0,,,180.3,0.0
T000100,0,0,,,0,,,167.64,0.0
T000101,0,0,,,0,,,283.66,0.0
T000102,0,0,,,0,,,180.2,0.0
T000103,0,0,,,0,,,765.93,0.0
T000104,0,0,,,0,,,211.14,0.0
T000105,0,0,,,0,,,135.1,0.0
T000106,0,0,,,0,,,298.57,0.0
T000107,0,0,,,0,,,261.84,0.0
T000108,0,0,,,0,,,194.19,0.0
T000109,0,0,,,0,,,177.36,0.0
T000110,0,0,,,0,,,262.4,0.0
T000111,0,0,,,0,,,162.69,0.0
T000112,0,0,,,0,,,154.7,0.0
T000113,0,0,,,0,,,226.09,0.0
T000114,0,0,,,0,,,223.22,0.0
T000115,0,0,,,0,,,141.66,0.0
T000116,0,0,,,0,,,265.98,0.0
T000117,0,0,,,0,,,263.46,0.0
T000118,0,0,,,0,,,167.05,0.0
T000119,0,0,,,0,,,169.75,0.0
T000120,0,0,,,0,,,547.99,0.0
T000121,0,0,,,0,,,75.05,0.0
T000122,0,0,,,0,,,214.58,0.0
T000123,0,0,,,0,,,164.95,0.0
T000124,0,0,,,0,,,193.3,0.0
T000125,0,0,,,0,,,178.85,0.0
T000126,0,0,,,0,,,182.16,0.0
T000127,0,0,,,0,,,293.17,0.0
T000128,0,0,,,0,,,154.92,0.0
T000129,0,0,,,0,,,222.35,0.0
T000130,0,0,,,0,,,202.06,0.0
T000131,0,0,,,0,,,174.87,0.0
T000132,0,0,,,0,,,265.13,0.0
T000133,0,0,,,0,,,209.62,0.0
T000134,0,0,,,0,,,152.14,0.0
T000135,0,0,,,0,,,231.14,0.0
T000136,0,0,,,0,,,203.81,0.0
T000137,0,0,,,0,,,283.22,0.0
T000138,0,0,,,0,,,413.22,0.0
T000139,0,0,,,0,,,303.63,0.0
T000140,0,0,,,0,,,334.49,0.0
T000141,0,0,,,0,,,405.84,0.0
T000142,0,0,,,0,,,152.54,0.0
T000143,0,0,,,0,,,217.99,0.0
T000144,0,0,,,0,,,232.52,0.0
T000145,0,0,,,0,,,152.57,0.0
T000146,0,0,,,0,,,379.34,0.0
T000147,0,0,,,0,,,196.03,0.0
T000148,0,0,,,0,,,209.04,0.0
T000149,0,0,,,0,,,157.01,0.0
T000150,0,0,,,0,,,327.1,0.0
T000151,0,0,,,0,,,120.15,0.0
T000152,0,0,,,0,,,248.47,0.0
T000153,0,0,,,0,,,296.46,0.0
T000154,0,0,,,0,,,165.62,0.0
T000155,0,0,,,0,,,171.21,0.0
T000156,0,0,,,0,,,381.73,0.0
T000157,0,0,,,0,,,205.11,0.0
T000158,0,0,,,0,,,332.03,0.0
T000159,0,0,,,0,,,608.41,0.0
T000160,0,0,,,0,,,176.25,0.0
T000161,0,0,,,0,,,112.13,0.0
T000162,0,0,,,0,,,698.99,0.0
T000163,0,0,,,0,,,169.16,0.0
T000164,0,0,,,0,,,208.69,0.0
T000165,0,0,,,0,,,358.69,0.0
T000166,0,0,,,0,,,374.31,0.0
T000167,0,0,,,0,,,168.85,0.0
T000168,0,0,,,0,,,410.8,0.0
T000169,0,0,,,0,,,1301.03,0.0
T000170,0,0,,,0,,,295.21,0.0
T000171,0,0,,,0,,,371.83,0.0
T000172,0,0,,,0,,,449.46,0.0
T000173,0,0,,,0,,,174.52,0.0
T000174,0,0,,,0,,,176.69,0.0
T000175,0,0,,,0,,,267.67,0.0
T000176,0,0,,,0,,,254.08,0.0
T000177,0,0,,,0,,,426.94,0.0
T000178,0,0,,,0,,,1589.66,0.0
T000179,0,0,,,0,,,190.35,0.0
T000180,0,0,,,0,,,182.56,0.0
T000181,0,0,,,0,,,197.17,0.0
T000182,0,0,,,0,,,155.7,0.0
T000183,0,0,,,0,,,233.43,0.0
T000184,0,0,,,0,,,285.04,0.0
T000185,0,0,,,0,,,176.94,0.0
T000186,0,0,,,0,,,167.61,0.0
T000187,0,0,,,0,,,170.02,0.0
T000188,0,0,,,0,,,291.45,0.0
T000189,0,0,,,0,,,186.99,0.0
